Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,2034.310059,2044.069946,2028.469971,2043.969971,2043.969971,268100
2017-01-04,2046.290039,2046.290039,2040.609985,2045.640015,2045.640015,371500
2017-01-05,2045.520020,2046.500000,2039.489990,2041.949951,2041.949951,541300
2017-01-06,2048.110107,2051.840088,2045.660034,2049.120117,2049.120117,455400
2017-01-09,2053.179932,2053.179932,2046.469971,2048.780029,2048.780029,398300
2017-01-10,2043.300049,2046.780029,2039.500000,2045.119995,2045.119995,512700
2017-01-11,2048.080078,2079.699951,2047.560059,2075.169922,2075.169922,335500
2017-01-12,2077.689941,2087.139893,2073.889893,2087.139893,2087.139893,555800
2017-01-13,2077.120117,2080.939941,2073.439941,2076.790039,2076.790039,518300
2017-01-16,2077.030029,2080.050049,2058.929932,2064.169922,2064.169922,683900
2017-01-17,2067.520020,2078.800049,2065.530029,2071.870117,2071.870117,601400
2017-01-18,2073.770020,2075.229980,2058.350098,2070.540039,2070.540039,530100
2017-01-19,2085.610107,2091.020020,2065.030029,2072.790039,2072.790039,415700
2017-01-20,2065.540039,2072.320068,2064.000000,2065.610107,2065.610107,392600
2017-01-23,2067.620117,2073.800049,2058.909912,2065.989990,2065.989990,444900
2017-01-24,2070.219971,2072.659912,2058.590088,2065.760010,2065.760010,312400
2017-01-25,2075.330078,2077.719971,2062.959961,2066.939941,2066.939941,311800
2017-01-26,2074.770020,2088.600098,2068.500000,2083.590088,2083.590088,257900
2017-01-31,2077.659912,2079.969971,2067.570068,2067.570068,2067.570068,288300
2017-02-01,2075.310059,2082.699951,2073.969971,2080.479980,2080.479980,452500
2017-02-02,2080.229980,2092.449951,2067.760010,2071.010010,2071.010010,825500
2017-02-03,2075.899902,2079.850098,2064.050049,2073.159912,2073.159912,392600
2017-02-06,2085.729980,2088.370117,2073.030029,2077.659912,2077.659912,315300
2017-02-07,2077.800049,2079.229980,2071.050049,2075.209961,2075.209961,271800
2017-02-08,2072.580078,2072.580078,2052.290039,2065.080078,2065.080078,266700
2017-02-09,2067.149902,2072.689941,2062.120117,2065.879883,2065.879883,236000
2017-02-10,2075.800049,2080.739990,2072.229980,2075.080078,2075.080078,314700
2017-02-13,2074.939941,2078.659912,2070.360107,2078.649902,2078.649902,289700
2017-02-14,2079.300049,2081.590088,2068.159912,2074.570068,2074.570068,332400
2017-02-15,2073.600098,2087.689941,2069.889893,2083.860107,2083.860107,338000
2017-02-16,2088.090088,2092.590088,2078.350098,2081.840088,2081.840088,330500
2017-02-17,2072.570068,2081.179932,2072.570068,2080.580078,2080.580078,301500
2017-02-20,2084.159912,2085.590088,2077.129883,2084.389893,2084.389893,297200
2017-02-21,2085.969971,2108.479980,2085.000000,2102.929932,2102.929932,292500
